humanInput,morseCode,type
A,.-,character
B,-...,character
C,-.-.,character
D,-..,character
E,.,character
F,..-.,character
G,--.,character
H,....,character
I,..,character
J,.---,character
K,-.-,character
L,.-..,character
M,--,character
N,-.,character
O,---,character
P,.--.,character
Q,--.-,character
R,.-.,character
S,...,character
T,-,character
U,..-,character
V,...-,character
W,.--,character
X,-..-,character
Y,-.--,character
Z,--..,character
0,-----,number
1,.----,number
2,..---,number
3,...--,number
4,....-,number
5,.....,number
6,-....,number
7,--...,number
8,---..,number
9,----.,number
.,.-.-.-,symbol
",",--..--,symbol
?,..--..,symbol
',.----.,symbol
!,-.-.--,symbol
:,-..-.,symbol
( ),-.--.-,symbol
&,.-...,symbol
:,---...,symbol
;,-.-.-.,symbol
=,-...-,symbol
+,.-.-.,symbol
-,-....-,symbol
_,..--.-,symbol
"""",.-..-.,symbol
$,...-..-,symbol
@,.--.-.,symbol
